number,date_or_origin,name,theorem,source_path,line,upstream_status,in_local_allowlist,summary,url,formalization_review,independent_status_review,admission_ready,audit_note,audit_date,disposition,external_sources,source_compile_pass,statement_has_sorry,statement_dependency_axioms,declaration_axioms,elaborated_type_pretty_sha256,requires_source_pin_fix
1,Ancient roots; explicit by 1638,Odd perfect numbers,PerfectNumbers.odd_perfect_number_conjecture,FormalConjectures/Wikipedia/PerfectNumbers.lean,83,research open,False,Can an odd positive integer equal the sum of its proper divisors?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/PerfectNumbers.lean#L83,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"Retain as provisionally open. Classical research sources treat existence as unresolved. Located a 2021 nonexistence claim, but did not establish its acceptance or validate its proof; this is not a certified absence-of-proof finding.",False,"Nat.Perfect excludes zero. The selected question concerns odd positive perfect numbers, not the solved classification of even perfect numbers.",2026-09-21,retain_provisionally_open,"[""https://abel.math.harvard.edu/~knill/seminars/perfect/perfect.pdf"", ""https://arxiv.org/abs/2101.07176""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",9a911f9928f92ec46b265844936a1b8150a2d8c16b44a311609e8400bcad3885,False
2,Ancient roots*,Infinitely many Mersenne primes,Mersenne.infinitely_many_mersenne_primes,FormalConjectures/Wikipedia/Mersenne.lean,135,research open,False,Are infinitely many numbers 2^p−1 prime? Equivalent to infinitely many even perfect numbers.,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Mersenne.lean#L135,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as provisionally open. A 2025 preprints.org infinitude claim was found; no accepted resolution or independently checked proof was established.,False,"Infinitely many exponents producing Mersenne primes is equivalent to infinitely many distinct Mersenne primes. It also duplicates infinitude of even perfect numbers, so do not reward those separately.",2026-09-21,retain_provisionally_open,"[""https://durham-repository.worktribe.com/OutputFile/1495393"", ""https://www.preprints.org/manuscript/202510.0673""]",True,False,"[""propext""]","[""propext"", ""sorryAx""]",d3e988fd5ab9e5feffaf971734d2a79a099e7dccceec531fde8e5548c2f9f1c5,False
3,1640s roots*,Infinitely many Fermat primes,Fermat.infinite_fermat_primes,FormalConjectures/Wikipedia/Fermat.lean,41,research open,False,Are infinitely many numbers 2^(2^n)+1 prime?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Fermat.lean#L41,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"Retain as open in the sources examined. Infinitude is a question, not the prevailing expectation; a proof of finitude would resolve it.",False,"Uses the actual Fermat sequence 2^(2^n)+1. The historical date records the sequence's origins, not a verified first formulation of this infinitude question.",2026-09-21,retain_provisionally_open,"[""https://math.dartmouth.edu/~carlp/PDF/paper62.pdf""]",True,False,"[""propext""]","[""propext"", ""sorryAx""]",50ae249c932fc10681acd628645e9842acbfe529eb67d4a5805d643404a89242,False
4,1700s roots*,Perfect cuboid,EulerBrick.perfect_euler_brick_existence,FormalConjectures/Wikipedia/EulerBrick.lean,55,research open,False,Does an integer-sided box have all face diagonals and its space diagonal integral?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/EulerBrick.lean#L55,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"HOLD: a January 2026 complete obstruction claim, revised February 9, directly addresses perfect cuboids. Acceptance and correctness were not established in this audit. Do not advertise the question as unqualifiedly open pending claim review.",False,"Positive natural edges exclude zero-length degeneracies; all three face diagonals and the body diagonal are required to be integral. The 2017 error analysis concerns an older Wyss claim, not a refutation of the 2026 claim.",2026-09-21,hold_recent_claim,"[""https://arxiv.org/abs/2602.00239"", ""https://arxiv.org/abs/1704.00165""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",4c99d34cf390370c51a5c51ca5cf6f018ab5228a03f6e66c5f420d2fe0bd4500,False
5,1734 constant*,Euler–Mascheroni constant irrationality,Irrational.irrational_eulerMascheroniConstant,FormalConjectures/Wikipedia/Irrational.lean,95,research open,False,Is Euler's constant γ irrational?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Irrational.lean#L95,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open in the sources examined. A search hit about generalized Euler numbers is not a result on the Euler–Mascheroni constant.,False,Direct Irrational predicate on the Euler–Mascheroni constant. Distinguish gamma from Euler's number e and from generalized factorial-series constants.,2026-09-21,retain_provisionally_open,"[""https://webusers.imj-prg.fr/~michel.waldschmidt/articles/pdf/EulerConstantVI.pdf"", ""https://arxiv.org/abs/2509.13354""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",6e03b2f95e53a9fb83aa842919f13148c651ee93b7a83cfd003ec859c128a873,False
6,1742,Goldbach conjecture,GoldbachConjecture.goldbach,FormalConjectures/Wikipedia/GoldbachConjecture.lean,36,research open,False,Is every even integer greater than 2 a sum of two primes?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/GoldbachConjecture.lean#L36,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. Helfgott's theorem concerns three primes and does not prove the binary conjecture selected here.,False,"Every even natural number greater than two must be a sum of two primes. Repeated primes are allowed, as required for four.",2026-09-21,retain_provisionally_open,"[""https://www.maths.ox.ac.uk/outreach/oxford-online-maths-club/episode-7"", ""https://arxiv.org/abs/1501.05438""]",True,False,"[""propext""]","[""propext"", ""sorryAx""]",83f07998b02bae908bef995e48bba05d9a67330265ae8e03890f6e03172a52d8,False
7,c. 1778,Euler's idoneal-number completeness,Idoneal.idoneal_numbers_completeness,FormalConjectures/Wikipedia/IdonealCompleteness.lean,102,research open,False,Are Euler's 65 known idoneal numbers the complete list?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/IdonealCompleteness.lean#L102,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open unconditionally. Kani's survey gives completeness of the known 65 under GRH and an unconditional bound of at most 67; neither is unconditional completeness.,False,The definition excluding representations ab+bc+ac with 0<a<b<c has a published equivalent characterization. The target compares the entire set with the explicit 65-element list. Finite checking of that list does not prove completeness.,2026-09-21,retain_provisionally_open,"[""https://mast.queensu.ca/~kani/papers/2011K1.pdf"", ""https://users.fmf.uni-lj.si/skreko/Old/MyPapers/01157.pdf"", ""https://www.sciencedirect.com/science/article/pii/S0022404925001136""]",True,False,"[""propext"", ""Quot.sound"", ""Classical.choice""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",48cbceb7a586f32aa59803cc57c059ee335f67fd108f1efe45397f80949c44cf,False
8,1798,Legendre conjecture,LegendreConjecture.legendre_conjecture,FormalConjectures/Wikipedia/LegendreConjecture.lean,38,research open,False,Is there a prime strictly between n² and (n+1)² for every n≥1?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/LegendreConjecture.lean#L38,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as provisionally open. A 2026 paper explicitly studies weaker Legendre bounds. Ferreira's short-interval preprint supplies a recent claim behind neighboring eventual results; no accepted resolution of this full universal target was established.,False,Strictly between n² and (n+1)² for every n≥1. An unspecified sufficiently-large-n theorem does not discharge all small cases. Audit proof dependencies separately from nearby research-solved labels.,2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2602.22502"", ""https://arxiv.org/abs/2307.08725""]",True,False,"[""propext""]","[""propext"", ""sorryAx""]",93de0ac0238a513ca404b0b21febc5f6892ddd496f57ca67b922daa83b4ad092,False
9,1801,Gauss real quadratic class-number-one problem,ClassNumberProblem.class_number_problem,FormalConjectures/Wikipedia/ClassNumberProblem.lean,41,research open,False,Are infinitely many real quadratic fields of class number one?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/ClassNumberProblem.lean#L41,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. A 2026 University of Padua research abstract still identifies infinitude of real quadratic fields of class number one as unresolved.,False,"Squarefree integers d>1 parameterize real quadratic fields. AdjoinRoot uses an explicit irreducibility witness. The target concerns the ordinary class number of the full ring of integers, not the narrow class number or imaginary fields.",2026-09-21,retain_provisionally_open,"[""https://www.math.unipd.it/news/simultaneous-divisibility-of-class-numbers-of-quadratic-fields/""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",98c66b2bb37e1a4229329597e20d087cc93672e49f111bc39b776d88f66c4f15,False
10,1849,Twin prime conjecture,TwinPrimes.twin_primes,FormalConjectures/Wikipedia/TwinPrimes.lean,37,research open,False,Are infinitely many prime pairs separated by 2?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/TwinPrimes.lean#L37,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open in the sources examined. Bounded prime gaps do not establish infinitely many gaps equal to two.,False,Infinitude of prime p with p+2 prime. Correct exact-gap target; finite searches and any larger bounded-gap theorem are insufficient.,2026-09-21,retain_provisionally_open,"[""https://terrytao.wordpress.com/2014/02/07/new-equidistribution-estimates-of-zhang-type-and-bounded-gaps-between-primes-and-a-retrospective/""]",True,False,"[""propext""]","[""propext"", ""sorryAx""]",94582a3f2be3f426198e93e8e48137ea262a1b03ce5cb1c0598ab3b94fa7a9ad,False
